Lacam1|Lacam1_100669	GH92.hmm  	2.5e-149	13	489	294	778	0.969450101832994
Lacam1|Lacam1_100937	CBM13.hmm  	1.1e-14	52	132	52	131	0.425531914893617
Lacam1|Lacam1_101215	GH24.hmm  	4.5e-39	2	137	107	248	0.985401459854015
Lacam1|Lacam1_102120	AA7.hmm  	8.1e-38	19	198	60	238	0.390829694323144
Lacam1|Lacam1_102498	AA3.hmm  	4.3e-90	85	404	28	599	0.516181229773463
Lacam1|Lacam1_102914	GH16.hmm  	3.7e-06	90	164	171	267	0.391534391534392
Lacam1|Lacam1_103096	GH16.hmm  	1.2e-39	5	189	161	489	0.973544973544973
Lacam1|Lacam1_105002	GH5.hmm  	8.5e-27	28	240	100	396	0.770909090909091
Lacam1|Lacam1_10516	GT2.hmm  	1.4e-12	79	161	1431	1514	0.488095238095238
Lacam1|Lacam1_106524	GT32.hmm  	1.8e-08	46	86	483	521	0.444444444444444
Lacam1|Lacam1_107120	GH5.hmm  	2.5e-12	48	158	12	209	0.4
Lacam1|Lacam1_107123	GT22.hmm  	9.3e-71	4	368	7	472	0.93573264781491
Lacam1|Lacam1_108120	CE1.hmm  	1.8e-05	13	215	94	325	0.889867841409692
Lacam1|Lacam1_108129	GH30.hmm  	2.7e-88	15	353	55	408	0.810551558752998
Lacam1|Lacam1_108697	GT15.hmm  	6e-34	3	271	55	339	0.981684981684982
Lacam1|Lacam1_109086	GT2.hmm  	2.3e-16	73	164	854	946	0.541666666666667
Lacam1|Lacam1_110839	GH5.hmm  	1.1e-22	29	233	270	570	0.741818181818182
Lacam1|Lacam1_112672	GT15.hmm  	4.4e-25	3	231	58	299	0.835164835164835
Lacam1|Lacam1_113030	GH105.hmm  	1.1e-26	77	282	97	304	0.617469879518072
Lacam1|Lacam1_113077	CE14.hmm  	9.3e-06	46	124	46	126	0.629032258064516
Lacam1|Lacam1_11312	CE4.hmm  	4.9e-21	8	123	39	151	0.884615384615385
Lacam1|Lacam1_113149	GH16.hmm  	1.5e-16	50	187	73	297	0.724867724867725
Lacam1|Lacam1_113165	GT15.hmm  	5.3e-36	4	271	59	341	0.978021978021978
Lacam1|Lacam1_11441	GH18.hmm  	6.8e-46	10	283	59	385	0.922297297297297
